,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
74,Atlanta Falcons,Chicago Bears,Mercedes-Benz Stadium,Atlanta,GA,USA,2022-11-20,Sun,1:00 PM,$86
75,Buffalo Bills,Cleveland Browns,Highmark Stadium,Orchard Park,NY,USA,2022-11-20,Sun,1:00 PM,$174
76,Indianapolis Colts,Philadelphia Eagles,Lucas Oil Stadium,Indianapolis,IN,USA,2022-11-20,Sun,1:00 PM,$78
77,Los Angeles Chargers,Kansas City Chiefs,SoFi Stadium,Inglewood,CA,USA,2022-11-20,Sun,1:25 PM,$127
78,Denver Broncos,Las Vegas Raiders,Empower Field at Mile High,Denver,CO,USA,2022-11-20,Sun,2:05 PM,$180
79,Minnesota Vikings,Dallas Cowboys,U.S. Bank Stadium,Minneapolis,MN,USA,2022-11-20,Sun,3:25 PM,$134
80,Arizona Cardinals,San Francisco 49ers,Estadio Azteca,Ciudad de México,Estado de Mexico,Mexico,2022-11-21,Mon,7:15 PM,$120
81,Detroit Lions,Buffalo Bills,Ford Field,Detroit,MI,USA,2022-11-24,Thu,12:30 PM,$195
82,Dallas Cowboys,New York Giants,AT&T Stadium,Arlington,TX,USA,2022-11-24,Thu,3:30 PM,$51
83,Minnesota Vikings,New England Patriots,U.S. Bank Stadium,Minneapolis,MN,USA,2022-11-24,Thu,7:20 PM,$84
84,Tennessee Titans,Cincinnati Bengals,Nissan Stadium - Nashville - Formerly LP Field,Nashville,TN,USA,2022-11-27,Sun,12:00 PM,$120
85,Washington Commanders,Atlanta Falcons,FedEx Field,Landover,MD,USA,2022-11-27,Sun,1:00 PM,$34
86,Carolina Panthers,Denver Broncos,Bank of America Stadium,Charlotte,NC,USA,2022-11-27,Sun,1:00 PM,$59
87,Jacksonville Jaguars,Baltimore Ravens,TIAA Bank Field,Jacksonville,FL,USA,2022-11-27,Sun,1:00 PM,$49
88,Miami Dolphins,Houston Texans,Hard Rock Stadium,Miami,FL,USA,2022-11-27,Sun,1:00 PM,$80
89,New York Jets Tickets (Darrelle Revis Ring of Honor Ceremony),Chicago Bears,MetLife Stadium,East Rutherford,NJ,USA,2022-11-27,Sun,1:00 PM,$34
90,Cleveland Browns,Tampa Bay Buccaneers,FirstEnergy Stadium,Cleveland,OH,USA,2022-11-27,Sun,1:00 PM,$90
91,Seattle Seahawks,Las Vegas Raiders,Lumen Field,Seattle,WA,USA,2022-11-27,Sun,1:05 PM,$188
92,San Francisco 49ers,New Orleans Saints,Levi's Stadium,Santa Clara,CA,USA,2022-11-27,Sun,1:25 PM,$85
93,Arizona Cardinals,Los Angeles Chargers,State Farm Stadium,Glendale,AZ,USA,2022-11-27,Sun,2:05 PM,$50
94,Kansas City Chiefs,Los Angeles Rams,GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,2022-11-27,Sun,3:25 PM,$184
95,Philadelphia Eagles,Green Bay Packers,Lincoln Financial Field,Philadelphia,PA,USA,2022-11-27,Sun,8:20 PM,$185
